Keyword,Category
Lidl,Groceries
KFC,Fast Food
Your_Employee,Salary
Jumbo,Groceries
Action,Household
Kruidvat,Household
OXXIO,Utilities
hypotheken,Mortgage
AnderZorg,Insurance
TIKKIE,Tikkies
T-MOBILE,Utilities
Feiken,Utilities
SIMYO,Utilities
V Munteanu,Investments
SHELL,Gas
BasisPakket,Utilities
CCV*,Restaurants
Erno s,Restaurants
SWDA,Restaurants
Rabo Betaalverzoek,Tikkies
ABN AMRO Bank NV,Tikkies
NZV,Restaurants
ENNL,ATM
Simz,Restaurants
Toko,Restaurants
ATM,ATM
VanderBoom,Clothes
Scooter,Scooter
Ticket,Tickets
BK,Fast Food
PRAXIS,Household
SCHOOL OF LIFE,Restaurants
Multisafe,Salsa
Hasta la Pasta,Restaurants
KATSU,Restaurants
Belastingdienst,Taxes
Eventbrite,Tickets
Jaap Edenbaan,Restaurants
Waternet,Utilities
C&M,Clothes
Spotify,Online serv
Amazon,Online serv
Bol,Online serv
ETOS,Household
Gall & Gall,Groceries
RegioBank,Tikkies
Salsa Shop,Restaurants
Cafe De IJsbreker,Restaurants
Lil Cities,Restaurants
Cabron,Restaurants
Marmaris,Restaurants
Alipay,Online serv
Verzekeren,Insurance
Betaalverzoek,Tikkies
ALBERT HEIJN,Groceries
Waterschap,Taxes
BLOKKER,Household
Gamma,Household
PYVLios,Restaurants
CALIFORNIA BURRITO,Restaurants
Pathe ,Tickets
IWAB,Online serv
belastingen,Taxes
Kleuro,Online serv
IKEA,Household
Dominos,Fast Food
Cafe Mez,Restaurants
Gall,Groceries
NSAdam,Tickets
ZEEMAN,Household
SPYLunch,Restaurants
vanHaren,Clothes
SumUp,Restaurants
Bijlmerplein,Restaurants
Decathlon, Utilities
HEMA, Household
Caffe, Restaurants
ESPRESSOFABRIEK, Restaurants
Worldline, Online serv
NOODLEBAR, Restaurants
Lil  Cities, Restaurants
Kohinoor, Restaurants
NATIONALE-NEDERLANDEN, Insurance
Media Markt, Household
DIE PORT, Restaurants
JD SPORTS, Clothes
Olandese, Restaurants
BAM BOA, Restaurants
AH, Groceries
Cafe, Restaurants
